Year,Category,Athlete,ImageURL,alpha_3,Time,url,Nationality
1995,Men,Dionicio Cerón,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,MEX,02:08:30,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/MX-128.png,Mexico
1996,Men,Dionicio Cerón,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,MEX,02:10:00,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/MX-128.png,Mexico
1997,Men,António Pinto,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,PRT,02:07:55,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/PT-128.png,Portugal
1998,Men,Abel Antón,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,ESP,02:07:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ES-128.png,Spain
1999,Men,Abdelkader El Mouaziz,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,MAR,02:07:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/MA-128.png,Morocco
2000,Men,António Pinto,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,PRT,02:06:36,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/PT-128.png,Portugal
2001,Men,Abdelkader El Mouaziz,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,MAR,02:07:09,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/MA-128.png,Morocco
2002,Men,Khalid Khannouchi,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,02:05:38,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2003,Men,Gezahegne Abera,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:07:56,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2004,Men,Evans Rutto,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:06:18,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2005,Men,Martin Lel,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:07:35,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2006,Men,Felix Limo,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:06:39,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2007,Men,Martin Lel,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:07:41,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2008,Men,Martin Lel,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:05:15,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2009,Men,Samuel Wanjiru,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:05:10,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2010,Men,Tsegaye Kebede,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:05:19,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2011,Men,Emmanuel Kipchirchir Mutai,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:04:40,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2012,Men,Wilson Kipsang Kiprotich,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:04:44,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2013,Men,Tsegaye Kebede,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:06:04,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2014,Men,Wilson Kipsang Kiprotich,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:04:29,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
